Unit1 Heuristic                       Unit2 Heuristic               Unit3 Heuristic          Total time used 

('Task1', 'Task9', 'Task3', 'Task6') ('Task5', 'Task2', 'Task7') ('Task4', 'Task8') 6326.2         
('Task1', 'Task9', 'Task3', 'Task6') ('Task5', 'Task2', 'Task7') ('Task8', 'Task4') 6548.6         
('Task1', 'Task9', 'Task3', 'Task6') ('Task5', 'Task7', 'Task2') ('Task4', 'Task8') 5731.3         
('Task1', 'Task9', 'Task3', 'Task6') ('Task5', 'Task7', 'Task2') ('Task8', 'Task4') 5729.3         
('Task1', 'Task9', 'Task3', 'Task6') ('Task7', 'Task2', 'Task5') ('Task4', 'Task8') 6189.2         
('Task1', 'Task9', 'Task3', 'Task6') ('Task7', 'Task2', 'Task5') ('Task8', 'Task4') 6207.6         
('Task1', 'Task9', 'Task3', 'Task6') ('Task7', 'Task5', 'Task2') ('Task4', 'Task8') 5743.4         
('Task1', 'Task9', 'Task3', 'Task6') ('Task7', 'Task5', 'Task2') ('Task8', 'Task4') 5743.4         
('Task1', 'Task9', 'Task6', 'Task3') ('Task2', 'Task5', 'Task7') ('Task4', 'Task8') 6326.2         
('Task1', 'Task9', 'Task6', 'Task3') ('Task2', 'Task5', 'Task7') ('Task8', 'Task4') 6716.6         
('Task1', 'Task9', 'Task6', 'Task3') ('Task2', 'Task7', 'Task5') ('Task4', 'Task8') 6191.2         
('Task1', 'Task9', 'Task6', 'Task3') ('Task2', 'Task7', 'Task5') ('Task8', 'Task4') 6145.4         
('Task1', 'Task9', 'Task6', 'Task3') ('Task5', 'Task2', 'Task7') ('Task4', 'Task8') 6326.2         
('Task1', 'Task9', 'Task6', 'Task3') ('Task5', 'Task2', 'Task7') ('Task8', 'Task4') 6548.6         
('Task1', 'Task9', 'Task6', 'Task3') ('Task5', 'Task7', 'Task2') ('Task4', 'Task8') 5731.3         
('Task1', 'Task9', 'Task6', 'Task3') ('Task5', 'Task7', 'Task2') ('Task8', 'Task4') 5729.3         
('Task1', 'Task9', 'Task6', 'Task3') ('Task7', 'Task2', 'Task5') ('Task4', 'Task8') 6189.2         
('Task1', 'Task9', 'Task6', 'Task3') ('Task7', 'Task2', 'Task5') ('Task8', 'Task4') 6261.6         
('Task1', 'Task9', 'Task6', 'Task3') ('Task7', 'Task5', 'Task2') ('Task4', 'Task8') 5743.4         
('Task1', 'Task9', 'Task6', 'Task3') ('Task7', 'Task5', 'Task2') ('Task8', 'Task4') 5743.4         
('Task3', 'Task1', 'Task6', 'Task9') ('Task2', 'Task5', 'Task7') ('Task4', 'Task8') 6326.2         
('Task3', 'Task1', 'Task6', 'Task9') ('Task2', 'Task5', 'Task7') ('Task8', 'Task4') 6682.6         
('Task3', 'Task1', 'Task6', 'Task9') ('Task2', 'Task7', 'Task5') ('Task4', 'Task8') 6191.2         
('Task3', 'Task1', 'Task6', 'Task9') ('Task2', 'Task7', 'Task5') ('Task8', 'Task4') 6412.6         
('Task3', 'Task1', 'Task6', 'Task9') ('Task5', 'Task2', 'Task7') ('Task4', 'Task8') 6326.2         
('Task3', 'Task1', 'Task6', 'Task9') ('Task5', 'Task2', 'Task7') ('Task8', 'Task4') 6514.6         
('Task3', 'Task1', 'Task6', 'Task9') ('Task5', 'Task7', 'Task2') ('Task4', 'Task8') 5743.4         
('Task3', 'Task1', 'Task6', 'Task9') ('Task5', 'Task7', 'Task2') ('Task8', 'Task4') 5743.4         
('Task3', 'Task1', 'Task6', 'Task9') ('Task7', 'Task2', 'Task5') ('Task4', 'Task8') 6189.2         
('Task3', 'Task1', 'Task6', 'Task9') ('Task7', 'Task2', 'Task5') ('Task8', 'Task4') 6199.6         
('Task3', 'Task1', 'Task6', 'Task9') ('Task7', 'Task5', 'Task2') ('Task4', 'Task8') 5743.4         
('Task3', 'Task1', 'Task6', 'Task9') ('Task7', 'Task5', 'Task2') ('Task8', 'Task4') 5743.4         
('Task3', 'Task1', 'Task9', 'Task6') ('Task2', 'Task5', 'Task7') ('Task4', 'Task8') 6326.2         
('Task3', 'Task1', 'Task9', 'Task6') ('Task2', 'Task5', 'Task7') ('Task8', 'Task4') 6682.6         
('Task3', 'Task1', 'Task9', 'Task6') ('Task2', 'Task7', 'Task5') ('Task4', 'Task8') 6191.2         
('Task3', 'Task1', 'Task9', 'Task6') ('Task2', 'Task7', 'Task5') ('Task8', 'Task4') 6412.6         
('Task3', 'Task1', 'Task9', 'Task6') ('Task5', 'Task2', 'Task7') ('Task4', 'Task8') 6326.2         
('Task3', 'Task1', 'Task9', 'Task6') ('Task5', 'Task2', 'Task7') ('Task8', 'Task4') 6514.6         
('Task3', 'Task1', 'Task9', 'Task6') ('Task5', 'Task7', 'Task2') ('Task4', 'Task8') 5743.4         
('Task3', 'Task1', 'Task9', 'Task6') ('Task5', 'Task7', 'Task2') ('Task8', 'Task4') 5743.4         
('Task3', 'Task1', 'Task9', 'Task6') ('Task7', 'Task2', 'Task5') ('Task4', 'Task8') 6189.2         
('Task3', 'Task1', 'Task9', 'Task6') ('Task7', 'Task2', 'Task5') ('Task8', 'Task4') 6199.6         
('Task3', 'Task1', 'Task9', 'Task6') ('Task7', 'Task5', 'Task2') ('Task4', 'Task8') 5743.4         
('Task3', 'Task1', 'Task9', 'Task6') ('Task7', 'Task5', 'Task2') ('Task8', 'Task4') 5743.4         
('Task3', 'Task6', 'Task1', 'Task9') ('Task2', 'Task5', 'Task7') ('Task4', 'Task8') 6326.2         
('Task3', 'Task6', 'Task1', 'Task9') ('Task2', 'Task5', 'Task7') ('Task8', 'Task4') 6682.6         
('Task3', 'Task6', 'Task1', 'Task9') ('Task2', 'Task7', 'Task5') ('Task4', 'Task8') 6191.2         
('Task3', 'Task6', 'Task1', 'Task9') ('Task2', 'Task7', 'Task5') ('Task8', 'Task4') 6412.6         
('Task3', 'Task6', 'Task1', 'Task9') ('Task5', 'Task2', 'Task7') ('Task4', 'Task8') 6326.2         
('Task3', 'Task6', 'Task1', 'Task9') ('Task5', 'Task2', 'Task7') ('Task8', 'Task4') 6514.6         
('Task3', 'Task6', 'Task1', 'Task9') ('Task5', 'Task7', 'Task2') ('Task4', 'Task8') 5743.4         
('Task3', 'Task6', 'Task1', 'Task9') ('Task5', 'Task7', 'Task2') ('Task8', 'Task4') 5743.4         
('Task3', 'Task6', 'Task1', 'Task9') ('Task7', 'Task2', 'Task5') ('Task4', 'Task8') 6189.2         
('Task3', 'Task6', 'Task1', 'Task9') ('Task7', 'Task2', 'Task5') ('Task8', 'Task4') 6199.6         
('Task3', 'Task6', 'Task1', 'Task9') ('Task7', 'Task5', 'Task2') ('Task4', 'Task8') 5743.4         
('Task3', 'Task6', 'Task1', 'Task9') ('Task7', 'Task5', 'Task2') ('Task8', 'Task4') 5743.4         
('Task3', 'Task6', 'Task9', 'Task1') ('Task2', 'Task5', 'Task7') ('Task4', 'Task8') 6326.2         
('Task3', 'Task6', 'Task9', 'Task1') ('Task2', 'Task5', 'Task7') ('Task8', 'Task4') 6682.6         
('Task3', 'Task6', 'Task9', 'Task1') ('Task2', 'Task7', 'Task5') ('Task4', 'Task8') 6191.2         
('Task3', 'Task6', 'Task9', 'Task1') ('Task2', 'Task7', 'Task5') ('Task8', 'Task4') 6412.6         
('Task3', 'Task6', 'Task9', 'Task1') ('Task5', 'Task2', 'Task7') ('Task4', 'Task8') 6326.2         
('Task3', 'Task6', 'Task9', 'Task1') ('Task5', 'Task2', 'Task7') ('Task8', 'Task4') 6514.6         
('Task3', 'Task6', 'Task9', 'Task1') ('Task5', 'Task7', 'Task2') ('Task4', 'Task8') 5743.4         
('Task3', 'Task6', 'Task9', 'Task1') ('Task5', 'Task7', 'Task2') ('Task8', 'Task4') 5743.4         
('Task3', 'Task6', 'Task9', 'Task1') ('Task7', 'Task2', 'Task5') ('Task4', 'Task8') 6189.2         
('Task3', 'Task6', 'Task9', 'Task1') ('Task7', 'Task2', 'Task5') ('Task8', 'Task4') 6199.6         
('Task3', 'Task6', 'Task9', 'Task1') ('Task7', 'Task5', 'Task2') ('Task4', 'Task8') 5743.4         
('Task3', 'Task6', 'Task9', 'Task1') ('Task7', 'Task5', 'Task2') ('Task8', 'Task4') 5743.4         
('Task3', 'Task9', 'Task1', 'Task6') ('Task2', 'Task5', 'Task7') ('Task4', 'Task8') 6326.2         
('Task3', 'Task9', 'Task1', 'Task6') ('Task2', 'Task5', 'Task7') ('Task8', 'Task4') 6682.6         
('Task3', 'Task9', 'Task1', 'Task6') ('Task2', 'Task7', 'Task5') ('Task4', 'Task8') 6191.2         
('Task3', 'Task9', 'Task1', 'Task6') ('Task2', 'Task7', 'Task5') ('Task8', 'Task4') 6412.6         
('Task3', 'Task9', 'Task1', 'Task6') ('Task5', 'Task2', 'Task7') ('Task4', 'Task8') 6326.2         
('Task3', 'Task9', 'Task1', 'Task6') ('Task5', 'Task2', 'Task7') ('Task8', 'Task4') 6514.6         
('Task3', 'Task9', 'Task1', 'Task6') ('Task5', 'Task7', 'Task2') ('Task4', 'Task8') 5743.4         
('Task3', 'Task9', 'Task1', 'Task6') ('Task5', 'Task7', 'Task2') ('Task8', 'Task4') 5743.4         
('Task3', 'Task9', 'Task1', 'Task6') ('Task7', 'Task2', 'Task5') ('Task4', 'Task8') 6189.2         
('Task3', 'Task9', 'Task1', 'Task6') ('Task7', 'Task2', 'Task5') ('Task8', 'Task4') 6199.6         
('Task3', 'Task9', 'Task1', 'Task6') ('Task7', 'Task5', 'Task2') ('Task4', 'Task8') 5743.4         
('Task3', 'Task9', 'Task1', 'Task6') ('Task7', 'Task5', 'Task2') ('Task8', 'Task4') 5743.4         
('Task3', 'Task9', 'Task6', 'Task1') ('Task2', 'Task5', 'Task7') ('Task4', 'Task8') 6326.2         
('Task3', 'Task9', 'Task6', 'Task1') ('Task2', 'Task5', 'Task7') ('Task8', 'Task4') 6682.6         
('Task3', 'Task9', 'Task6', 'Task1') ('Task2', 'Task7', 'Task5') ('Task4', 'Task8') 6191.2         
('Task3', 'Task9', 'Task6', 'Task1') ('Task2', 'Task7', 'Task5') ('Task8', 'Task4') 6412.6         
('Task3', 'Task9', 'Task6', 'Task1') ('Task5', 'Task2', 'Task7') ('Task4', 'Task8') 6326.2         
('Task3', 'Task9', 'Task6', 'Task1') ('Task5', 'Task2', 'Task7') ('Task8', 'Task4') 6514.6         
('Task3', 'Task9', 'Task6', 'Task1') ('Task5', 'Task7', 'Task2') ('Task4', 'Task8') 5743.4         
('Task3', 'Task9', 'Task6', 'Task1') ('Task5', 'Task7', 'Task2') ('Task8', 'Task4') 5743.4         
('Task3', 'Task9', 'Task6', 'Task1') ('Task7', 'Task2', 'Task5') ('Task4', 'Task8') 6189.2         
('Task3', 'Task9', 'Task6', 'Task1') ('Task7', 'Task2', 'Task5') ('Task8', 'Task4') 6199.6         
('Task3', 'Task9', 'Task6', 'Task1') ('Task7', 'Task5', 'Task2') ('Task4', 'Task8') 5743.4         
('Task3', 'Task9', 'Task6', 'Task1') ('Task7', 'Task5', 'Task2') ('Task8', 'Task4') 5743.4         
('Task6', 'Task1', 'Task3', 'Task9') ('Task2', 'Task5', 'Task7') ('Task4', 'Task8') 6326.2         
('Task6', 'Task1', 'Task3', 'Task9') ('Task2', 'Task5', 'Task7') ('Task8', 'Task4') 6682.6         
('Task6', 'Task1', 'Task3', 'Task9') ('Task2', 'Task7', 'Task5') ('Task4', 'Task8') 6191.2         
('Task6', 'Task1', 'Task3', 'Task9') ('Task2', 'Task7', 'Task5') ('Task8', 'Task4') 6412.6         
('Task6', 'Task1', 'Task3', 'Task9') ('Task5', 'Task2', 'Task7') ('Task4', 'Task8') 6326.2         
('Task6', 'Task1', 'Task3', 'Task9') ('Task5', 'Task2', 'Task7') ('Task8', 'Task4') 6514.6         
('Task6', 'Task1', 'Task3', 'Task9') ('Task5', 'Task7', 'Task2') ('Task4', 'Task8') 5743.4         
('Task6', 'Task1', 'Task3', 'Task9') ('Task5', 'Task7', 'Task2') ('Task8', 'Task4') 5743.4         
('Task6', 'Task1', 'Task3', 'Task9') ('Task7', 'Task2', 'Task5') ('Task4', 'Task8') 6189.2         
('Task6', 'Task1', 'Task3', 'Task9') ('Task7', 'Task2', 'Task5') ('Task8', 'Task4') 6199.6         
('Task6', 'Task1', 'Task3', 'Task9') ('Task7', 'Task5', 'Task2') ('Task4', 'Task8') 5743.4         
('Task6', 'Task1', 'Task3', 'Task9') ('Task7', 'Task5', 'Task2') ('Task8', 'Task4') 5743.4         
('Task6', 'Task1', 'Task9', 'Task3') ('Task2', 'Task5', 'Task7') ('Task4', 'Task8') 6326.2         
('Task6', 'Task1', 'Task9', 'Task3') ('Task2', 'Task5', 'Task7') ('Task8', 'Task4') 6716.6         
('Task6', 'Task1', 'Task9', 'Task3') ('Task2', 'Task7', 'Task5') ('Task4', 'Task8') 6191.2         
('Task6', 'Task1', 'Task9', 'Task3') ('Task2', 'Task7', 'Task5') ('Task8', 'Task4') 6145.4         
('Task6', 'Task1', 'Task9', 'Task3') ('Task5', 'Task2', 'Task7') ('Task4', 'Task8') 6326.2         
('Task6', 'Task1', 'Task9', 'Task3') ('Task5', 'Task2', 'Task7') ('Task8', 'Task4') 6548.6         
('Task6', 'Task1', 'Task9', 'Task3') ('Task5', 'Task7', 'Task2') ('Task4', 'Task8') 5743.4         
('Task6', 'Task1', 'Task9', 'Task3') ('Task5', 'Task7', 'Task2') ('Task8', 'Task4') 5743.4         
('Task6', 'Task1', 'Task9', 'Task3') ('Task7', 'Task2', 'Task5') ('Task4', 'Task8') 6189.2         
('Task6', 'Task1', 'Task9', 'Task3') ('Task7', 'Task2', 'Task5') ('Task8', 'Task4') 6261.6         
('Task6', 'Task1', 'Task9', 'Task3') ('Task7', 'Task5', 'Task2') ('Task4', 'Task8') 5743.4         
('Task6', 'Task1', 'Task9', 'Task3') ('Task7', 'Task5', 'Task2') ('Task8', 'Task4') 5743.4         
('Task6', 'Task3', 'Task1', 'Task9') ('Task2', 'Task5', 'Task7') ('Task4', 'Task8') 6326.2         
('Task6', 'Task3', 'Task1', 'Task9') ('Task2', 'Task5', 'Task7') ('Task8', 'Task4') 6682.6         
('Task6', 'Task3', 'Task1', 'Task9') ('Task2', 'Task7', 'Task5') ('Task4', 'Task8') 6191.2         
('Task6', 'Task3', 'Task1', 'Task9') ('Task2', 'Task7', 'Task5') ('Task8', 'Task4') 6412.6         
('Task6', 'Task3', 'Task1', 'Task9') ('Task5', 'Task2', 'Task7') ('Task4', 'Task8') 6326.2         
('Task6', 'Task3', 'Task1', 'Task9') ('Task5', 'Task2', 'Task7') ('Task8', 'Task4') 6514.6         
('Task6', 'Task3', 'Task1', 'Task9') ('Task5', 'Task7', 'Task2') ('Task4', 'Task8') 5743.4         
('Task6', 'Task3', 'Task1', 'Task9') ('Task5', 'Task7', 'Task2') ('Task8', 'Task4') 5743.4         
('Task6', 'Task3', 'Task1', 'Task9') ('Task7', 'Task2', 'Task5') ('Task4', 'Task8') 6189.2         
('Task6', 'Task3', 'Task1', 'Task9') ('Task7', 'Task2', 'Task5') ('Task8', 'Task4') 6199.6         
('Task6', 'Task3', 'Task1', 'Task9') ('Task7', 'Task5', 'Task2') ('Task4', 'Task8') 5743.4         
('Task6', 'Task3', 'Task1', 'Task9') ('Task7', 'Task5', 'Task2') ('Task8', 'Task4') 5743.4         
('Task6', 'Task3', 'Task9', 'Task1') ('Task2', 'Task5', 'Task7') ('Task4', 'Task8') 6326.2         
('Task6', 'Task3', 'Task9', 'Task1') ('Task2', 'Task5', 'Task7') ('Task8', 'Task4') 6682.6         
('Task6', 'Task3', 'Task9', 'Task1') ('Task2', 'Task7', 'Task5') ('Task4', 'Task8') 6191.2         
('Task6', 'Task3', 'Task9', 'Task1') ('Task2', 'Task7', 'Task5') ('Task8', 'Task4') 6412.6         
('Task6', 'Task3', 'Task9', 'Task1') ('Task5', 'Task2', 'Task7') ('Task4', 'Task8') 6326.2         
('Task6', 'Task3', 'Task9', 'Task1') ('Task5', 'Task2', 'Task7') ('Task8', 'Task4') 6514.6         
('Task6', 'Task3', 'Task9', 'Task1') ('Task5', 'Task7', 'Task2') ('Task4', 'Task8') 5743.4         
('Task6', 'Task3', 'Task9', 'Task1') ('Task5', 'Task7', 'Task2') ('Task8', 'Task4') 5743.4         
('Task6', 'Task3', 'Task9', 'Task1') ('Task7', 'Task2', 'Task5') ('Task4', 'Task8') 6189.2         
('Task6', 'Task3', 'Task9', 'Task1') ('Task7', 'Task2', 'Task5') ('Task8', 'Task4') 6199.6         
('Task6', 'Task3', 'Task9', 'Task1') ('Task7', 'Task5', 'Task2') ('Task4', 'Task8') 5743.4         
('Task6', 'Task3', 'Task9', 'Task1') ('Task7', 'Task5', 'Task2') ('Task8', 'Task4') 5743.4         
('Task6', 'Task9', 'Task1', 'Task3') ('Task2', 'Task5', 'Task7') ('Task4', 'Task8') 6326.2         
('Task6', 'Task9', 'Task1', 'Task3') ('Task2', 'Task5', 'Task7') ('Task8', 'Task4') 6716.6         
('Task6', 'Task9', 'Task1', 'Task3') ('Task2', 'Task7', 'Task5') ('Task4', 'Task8') 6191.2         
('Task6', 'Task9', 'Task1', 'Task3') ('Task2', 'Task7', 'Task5') ('Task8', 'Task4') 6145.4         
('Task6', 'Task9', 'Task1', 'Task3') ('Task5', 'Task2', 'Task7') ('Task4', 'Task8') 6326.2         
('Task6', 'Task9', 'Task1', 'Task3') ('Task5', 'Task2', 'Task7') ('Task8', 'Task4') 6548.6         
('Task6', 'Task9', 'Task1', 'Task3') ('Task5', 'Task7', 'Task2') ('Task4', 'Task8') 5743.4         
('Task6', 'Task9', 'Task1', 'Task3') ('Task5', 'Task7', 'Task2') ('Task8', 'Task4') 5743.4         
('Task6', 'Task9', 'Task1', 'Task3') ('Task7', 'Task2', 'Task5') ('Task4', 'Task8') 6189.2         
('Task6', 'Task9', 'Task1', 'Task3') ('Task7', 'Task2', 'Task5') ('Task8', 'Task4') 6261.6         
('Task6', 'Task9', 'Task1', 'Task3') ('Task7', 'Task5', 'Task2') ('Task4', 'Task8') 5743.4         
